Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2017-10-08 10:45:40,false,"Running","12.64","1,176","01:40:51","151","181","--","--","--","7:59","2:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:40:51","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-10-06 17:59:25,false,"Running","4.06","400","00:33:40","153","166","--","--","--","8:17","2:26","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","33:40","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-10-05 09:17:01,false,"Running","4.58","462","00:36:05","161","180","--","--","--","7:53","3:04","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","36:05","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-10-03 20:11:29,false,"Running","2.97","302","00:23:58","159","184","--","--","--","8:05","2:09","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","23:58","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-10-01 07:38:48,false,"Running","10.39","1,003","01:21:38","156","172","--","--","--","7:51","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:21:38","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-09-29 19:02:40,false,"Running","6.34","632","00:49:34","160","190","--","--","--","7:49","1:57","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","49:34","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-09-27 17:39:43,false,"Running","4.54","447","00:37:20","154","175","--","--","--","8:13","3:09","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","37:20","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-09-25 21:31:45,false,"Running","3.48","293","00:28:04","141","158","--","--","--","8:04","4:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","28:04","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-09-18 21:09:47,false,"Running","2.78","288","00:22:07","162","183","--","--","--","7:57","2:29","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","22:07","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-09-16 18:40:14,false,"Running","7.24","732","00:56:05","163","181","--","--","--","7:45","3:41","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","56:05","0:00","0.0","0:00","No","00:00.00","--","0.0"
Running,2017-09-14 19:16:29,false,"Running","4.33","455","00:37:39","155","186","--","--","--","8:42","3:00","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","37:39","0:00","0.0","0:00","No","00:00.00","--","0.0"
